SalesOrg;Customer_Name;EAN_UPC_Code;Week_Date_Start;Currency;Sales_Value;Sales_Volume;Retail Sales Price;Base_Sales_Value;Base_Sales_Volume;Incremental_Sales_Value;Incremental_Sales_Volume;ACV Weighted Distribution;ACV Weighted Distribution No Merch;ACV Weighted Distribution Any Merch;ACV Weighted Distribution Price Reductions Only;ACV Weighted Distribution Feature Only;ACV Weighted Distribution Display Only;ACV Weighted Distribution Feature and Display;ACV Weighted Distribution Feature and/or Display;RoS;Promoted ACV %;In-store Price Discount %;COVID;Week_of_Year;Post event deep
B01;B;33409;2019-11-24;BBB;104428.6481;10415.20198;10.0265600514067;101539.8661;10119.58066;2888.782036;295.6213179;68.2751679;58.30102886;9.974139032;0.482079042;0.00;9.49205999;0.00;9.49205999;152.547438554157;0.146087359999008; 0.999258587583895 ;0.00;47;0
B01;B;33409;2019-12-01;BBB;141740.1629;16029.6019;8.84240068993853;101153.4984;10280.38974;40586.66447;5749.21216;74.48106086;2.639594244;71.84146662;0.018719431;61.71853613;0.357246918;9.746964138;71.82274718;215.217153393269;0.964560195444026; 0.898667142191624 ;0.00;48;0
B01;B;33409;2019-12-08;BBB;110167.7171;10985.17063;10.0287670360929;107072.0048;10660.59735;3095.712267;324.5732831;70.08831691;59.85646916;10.23184775;0.838359655;0.00;9.393488097;0.00;9.393488097;156.733263321275;0.145985068569112; 0.998511679018635 ;0.00;49;0
B01;B;33409;2019-12-15;BBB;121316.0561;12085.30407;10.0383122673057;118033.2479;11753.59787;3282.808228;331.7062037;72.18732893;61.76492084;10.42240809;0.237948941;0.00;10.18445915;0.00;10.18445915;167.415864378624;0.144380021320731; 0.999602127218929 ;0.00;50;0
B01;B;33409;2019-12-22;BBB;125539.7223;12515.23254;10.0309540313184;121929.2329;12148.6788;3610.489393;366.5537399;73.03210813;61.40490201;11.62720612;0.491168793;0.00;11.13603733;0.00;11.13603733;171.366168394351;0.159206771072569; 0.999455468435514 ;0.00;51;0
B01;B;33409;2019-12-29;BBB;126408.1856;12607.44779;10.0264690923618;125769.9192;12536.64882;638.2663263;70.79897074;72.25200473;70.65707715;1.594927587;0.523440105;0.00;1.071487482;0.00;1.071487482;174.492705594994;0.0220745098071689; 0.999430728071296 ;0.00;52;0
B01;B;33409;2020-01-05;BBB;134995.305;13453.10408;10.034509819982;134446.0527;13390.04224;549.2522512;63.06184106;74.7569316;72.97495621;1.781975389;0.744658869;0.00;1.03731652;0.00;1.03731652;179.957948942891;0.0238369252303555; 0.999378618032523 ;0.00;1;0
B01;B;33409;2020-01-12;BBB;195422.5752;22264.85101;8.77717866210864;129725.3191;13125.4384;65697.25608;9139.412607;80.82196379;2.713356223;78.10860756;0.00;77.24194525;0.03796931;0.828693009;78.10860756;275.480203226079;0.966427984389861; 0.888063476386556 ;0.00;2;0
B01;B;33409;2020-01-19;BBB;134235.838;13391.34781;10.0240722520671;133430.1563;13292.41712;805.681733;98.93068695;75.0362977;73.1976346;1.838663098;0.966540573;0.00;0.872122525;0.00;0.872122525;178.46493257889;0.0245036489586826; 0.998605962177784 ;0.00;3;0
B01;B;33409;2020-01-26;BBB;169268.1017;19051.7644;8.88464176577787;121305.7038;12330.70279;47962.3979;6721.061611;79.58191187;2.539857632;77.04205424;0.00;75.8816959;0.002451451;1.157906884;77.04205424;239.398174187141;0.968084988531704; 0.903122224079852 ;0.00;4;0
B01;B;33409;2020-02-02;BBB;140301.5862;13983.25544;10.0335423894681;139205.603;13862.81115;1095.983245;120.4442847;75.85608366;73.18571996;2.670363701;0.663672657;0.00;2.006691043;0.00;2.006691043;184.339274654296;0.0352030262064283; 0.999191845106378 ;0.00;5;0
B01;B;33409;2020-02-09;BBB;177139.5402;19989.24093;8.86174421631727;124495.157;12621.96459;52644.38315;7367.276336;79.63891882;2.41855742;77.2203614;0.00;70.70295716;0.03177658;6.485627663;77.2203614;250.998396590236;0.969630961145185; 0.89844958148849 ;0.00;6;0
B01;B;33409;2020-02-16;BBB;131330.2194;13107.04667;10.0198177901201;128604.4936;12813.87279;2725.725894;293.1738787;74.3982215;67.27631319;7.121908308;0.870044256;0.00;6.251864053;0.00;6.251864053;176.174193491977;0.0957268623417295; 0.998352910909311 ;1.85714285714286;7;0
B01;B;33409;2020-02-23;BBB;104423.0847;10412.49284;10.0286344782735;102709.887;10237.55321;1713.197698;174.9396308;69.79239217;63.43822247;6.354169694;0.218669727;0.00;6.135499967;0.00;6.135499967;149.192376364422;0.0910438730703275; 0.999598793200557 ;4.85714285714286;8;0
B01;B;33409;2020-03-01;BBB;164044.8766;16332.2085;10.0442555947042;159631.9427;15879.62837;4412.933902;452.5801335;77.26568479;70.16040271;7.105282077;0.4771193;0.00;6.628162778;0.00;6.628162778;211.377256855863;0.0919590902004093; 0.999167481140954 ;7.92857142857143;9;0
B01;B;33409;2020-03-08;BBB;226817.9676;25707.50937;8.82302382294143;134180.9589;13515.60731;92637.00871;12191.90207;82.27594514;1.221013379;81.05493176;1.265878202;73.82741456;0.00;5.961639005;79.78905356;312.454743926142;0.985159533835529; 0.888714212919903 ;9.21428571428571;10;0
B01;B;33409;2020-03-15;BBB;233606.1235;23307.83119;10.0226452472432;226308.6527;22550.02241;7297.470807;757.8087777;83.00016199;77.16375568;5.836406311;0.664191945;0.00;5.172214366;0.00;5.172214366;280.81669518679;0.0703180110865709; 0.99868419627958 ;-6.71428571428571;11;0
B01;B;33409;2020-03-22;BBB;168146.8426;16783.58631;10.0185287872482;167852.938;16746.54501;293.9045748;37.0412974;78.00526993;77.6967063;0.308563625;0.308563625;0.00;0.00;0.00;0.00;215.159646586201;0.00395567665206335; 0.999540104979472 ;-27.8571428571429;12;0
B01;B;33409;2020-03-29;BBB;105505.7557;10521.19612;10.0279240588854;105475.3723;10515.53256;30.38336109;5.663559272;67.25018705;66.99172531;0.25846175;0.25846175;0.00;0.00;0.00;0.00;156.448577788751;0.00384328670800329; 0.99974960648152 ;-28.5;13;0
B01;B;33409;2020-04-05;BBB;87705.00943;8748.142761;10.025557632758;87690.62925;8744.481012;14.38017134;3.661749619;65.07281607;64.86789215;0.204923922;0.204923922;0.00;0.00;0.00;0.00;134.436209915819;0.00314914789886394; 0.999745344561591 ;-28.8571428571429;14;0
B01;B;33409;2020-04-12;BBB;77299.71793;7719.769053;10.0132163798294;77250.90664;7708.930108;48.81128817;10.83894486;61.65553245;61.41714413;0.238388319;0.238388319;0.00;0.00;0.00;0.00;125.208051025436;0.00386645463151782; 0.999226916366268 ;-31.7857142857143;15;0
B01;B;33409;2020-04-19;BBB;101837.734;11305.62633;9.00770386597414;79609.19572;8167.851195;22228.53826;3137.775133;67.89468872;1.097362696;66.79732602;0.02693763;66.77038839;0.00;0.00;66.77038839;166.517094976675;0.983837282110158; 0.924184500552859 ;-27.5;16;0
B01;B;33409;2020-04-26;BBB;87874.03352;8781.8981;10.0062688634476;87638.52245;8749.255412;235.5110744;32.64268762;65.96106339;65.3776201;0.583443294;0.583443294;0.00;0.00;0.00;0.00;133.137606470598;0.00884526816298193; 0.998960269525242 ;-22.5;17;0
B01;B;33409;2020-05-03;BBB;91240.39642;9107.470994;10.0181923697708;74366.7154;7414.854757;16873.68101;1692.616237;67.03869923;1.316677859;65.72202137;0.00;65.72202137;0.00;0.00;65.72202137;135.853933602643;0.980359436040328; 0.998880224169967 ;-16.8571428571429;18;0
B01;B;33409;2020-05-10;BBB;91811.26534;9163.608894;10.0191165295274;74122.04031;7392.515192;17689.22503;1771.093702;66.82692229;1.42317088;65.40375141;0.027789787;65.37596162;0.00;0.00;65.37596162;137.124508805506;0.978703629746346; 0.999250301869485 ;-17;19;0
