SalesOrderItemNumber,DeliveryNumber,DeliveryItemNumber,Material,DeliveryQuantity,Volume,NetWeight,GrossWeight
30,2063560492,40,6E+13,77,22640,30.74,45.24
20,2063560496,30,6E+13,35,139544.18,55.4,69.9
30,2063560496,40,6E+13,77,22640,30.74,45.24
20,2063560500,30,6E+13,23,85726.508,33.44,47.94
30,2063560500,40,6E+13,53,16760,20.66,35.16
20,2063560501,30,6E+13,23,85726.508,33.44,47.94
30,2063560501,40,6E+13,53,16760,20.66,35.16
20,2063560502,30,6E+13,35,139544.18,55.4,69.9
30,2063560502,40,6E+13,53,16760,20.66,35.16
20,2063560503,30,6E+13,23,85726.508,33.44,47.94
30,2063560503,40,6E+13,53,16760,20.66,35.16
20,2063560504,30,6E+13,23,85726.508,33.44,47.94
30,2063560504,40,6E+13,53,16760,20.66,35.16
20,2063560505,30,6E+13,35,139544.18,55.4,69.9
30,2063560505,40,6E+13,77,22640,30.74,45.24
20,2063560506,30,6E+13,35,139544.18,55.4,69.9
30,2063560506,40,6E+13,77,22640,30.74,45.24
20,2063560507,30,6E+13,23,85726.508,33.44,47.94
370,2104409008,900048,230859,605,155000,106.1,120.6
380,2104409008,900049,240643,305,55505,2.3,21
390,2104409008,900050,209364,1445,527720,86.9,137.4
400,2104409008,900051,224381,65,38000,5.24,22.02
410,2104409008,900052,6E+13,245,35240,6.74,24.6
420,2104409008,900053,6E+13,1445,716144,190.58,261.24
430,2104409008,900054,6E+13,245,65480,12.26,26.76
440,2104409008,900055,6E+13,245,80600,12.26,26.76
450,2104409008,900056,6E+13,365,18608,26.42,65.76
480,2104409008,900057,230842,125,64148,12.38,30.84
490,2104409008,900058,6E+13,725,242600,32.18,59.64
500,2104409008,900059,6E+13,245,53116.4,14.9,33.72
510,2104409008,900060,6E+13,437,129416,55.364,69.864
520,2104409008,900061,6E+13,149,46472,18.932,33.432
530,2104409008,900062,6E+13,149,46472,18.788,33.288
540,2104409008,900063,6E+13,149,53960,17.78,32.28
550,2104409008,900064,240476,149,46040,14400.5,16863
560,2104409008,900065,240957,149,46040,14400.5,16863
570,2104409008,900066,6E+13,113,59432,30.416,44.916
580,2104409008,900067,6E+13,173,89672,47.036,57
580,2104409008,900068,6E+13,17,11048,3.824,18
590,2104409008,900069,6E+13,149,53960,17.78,32.28
600,2104409008,900070,6E+13,149,53960,2.66,17.16
610,2104409008,900071,6E+13,149,46040,14400.5,16863
620,2104409008,900072,6E+13,149,5013.824,0.644,22.056
630,2104409008,900073,6E+13,149,9838.4,1.94,27.672
640,2104409008,900074,6E+13,77,41288,20.444,34.944
650,2104409008,900075,6E+13,77,25520,7200.5,8439
